ID,Address,City,Country,latitude,longitude
290,זאב ז'בוטינסקי ,ירושלים,ישראל,31.77368,35.1789765
291,זילברשטיין ,ירושלים,ישראל,31.8338467,35.2443613
292,זלמן ארן ,ירושלים,ישראל,32.0092045,34.79461008
293,זעקוקה ,ירושלים,ישראל,31.737154,35.236632
294,ח'אלד אבן אל וליד ,ירושלים,ישראל,31.7897938,35.2328752
298,חארת א סעידיה ,ירושלים,ישראל,31.7822399,35.2327607
299,חארת א סעידיה 4,ירושלים,ישראל,31.7822399,35.2327607
301,חבקוק ,ירושלים,ישראל,31.7886538,35.220548
302,חגי ,ירושלים,ישראל,31.7891989,35.2176051
304,חזון אי''ש ,ירושלים,ישראל,31.8077513,35.2228027
305,חזנוביץ' ,ירושלים,ישראל,31.7857513,35.220183
306,חזקיהו המלך ,ירושלים,ישראל,31.7619022,35.2112568
307,חיי אדם ,ירושלים,ישראל,31.7861914,35.219172
310,חיים עוזר ,ירושלים,ישראל,31.7897319,35.2243221
311,חיל האוויר ,ירושלים,ישראל,31.8306366,35.2397625
313,חנה ,ירושלים,ישראל,31.7939663,35.212175
314,חרל''פ ,ירושלים,ישראל,31.7691623,35.2117984
315,טבריה ,ירושלים,ישראל,31.7801728,35.2118722
317,טשרניחובסקי ,ירושלים,ישראל,31.7692434,35.208719
318,יד חרוצים 4,ירושלים,ישראל,31.7545045,35.2172163
321,יהודה המכבי ,ירושלים,ישראל,31.7897967,35.2095805
322,יהודה קרני ,ירושלים,ישראל,31.8105317,35.1979932
323,יהויריב ,ירושלים,ישראל,31.7921715,35.2241985
324,יהלום ,ירושלים,ישראל,31.729216,35.1922059
325,יואל משה סלומון ,ירושלים,ישראל,31.7814248,35.2197573
326,יום טוב אלגזי ,ירושלים,ישראל,31.7869546,35.2143681
328,יוסף נדבה ,ירושלים,ישראל,31.8163484,35.2505065
330,יוסף צבי הערץ ,ירושלים,ישראל,31.8172571,35.2036852
331,יחזקאל 4,ירושלים,ישראל,31.7886017,35.2186185
332,ים סוף ,ירושלים,ישראל,31.8008696,35.2223962
333,יעל ,ירושלים,ישראל,31.7612831,35.2211742
334,יעקב אלעזר ,ירושלים,ישראל,31.8139472,35.2083547
336,יעקב סימן טוב ,ירושלים,ישראל,31.7716306,35.189681
337,יפה רום ,ירושלים,ישראל,31.7345795,35.1885294
338,יפה רום ,ירושלים,ישראל,31.7345795,35.1885294
339,יפו ,ירושלים,ישראל,31.7877505,35.2073464
340,יפו ,ירושלים,ישראל,31.7877505,35.2073464
341,יפו 4,ירושלים,ישראל,31.7862429,35.2109205
342,יצהר ,ירושלים,ישראל,31.73919,35.1886239
343,יצחק שדה ,ירושלים,ישראל,31.7541632,35.1972345
344,ירמיהו 4,ירושלים,ישראל,31.793695,35.2149037
346,ישא ברכה ,ירושלים,ישראל,31.7906018,35.2204478
347,ישעיהו ,ירושלים,ישראל,31.787016,35.2179658
348,ישראל אלדד ,ירושלים,ישראל,31.7522541,35.2256826
350,כנפי נשרים 4,ירושלים,ישראל,31.7875754,35.1896778
351,כף החיים ,ירושלים,ישראל,31.8442288,35.2412299
352,כרמון ,ירושלים,ישראל,31.7809772,35.1934228
353,כרמיה ,ירושלים,ישראל,31.7654487,35.2231739
354,לבוש מרדכי ,ירושלים,ישראל,31.7885287,35.2179963
355,לוחמי הגטאות ,ירושלים,ישראל,31.8004679,35.2419819
356,לח''י ,ירושלים,ישראל,31.8000585,35.2362597
357,ליבנה 4,ירושלים,ישראל,31.7999016,35.2210269
358,לייב דיין ,ירושלים,ישראל,31.7882516,35.222524
359,לייב יפה ,ירושלים,ישראל,31.7444379,35.2207819
360,ליכטנשטיין ,ירושלים,ישראל,31.7255662,35.2250101
361,מאה שערים ,ירושלים,ישראל,31.7865608,35.2208052
362,מאיר גרשון ,ירושלים,ישראל,31.8198071,35.2494631
363,מאיר נקר ,ירושלים,ישראל,31.7516156,35.2410486
364,מבוא דב בר יקר ,ירושלים,ישראל,31.8409337,35.245432
366,מבוא הברכה ,ירושלים,ישראל,31.8110337,35.2182453
367,מבוא הצרי ,ירושלים,ישראל,31.7330519,35.2012798
368,מבוא יטבתה ,ירושלים,ישראל,31.8000068,35.2225299
370,מדבר סיני ,ירושלים,ישראל,31.8022955,35.2310327
371,מודיעין ,ירושלים,ישראל,31.7892367,35.2131458
372,מזל גדי ,ירושלים,ישראל,31.8362639,35.2329956
373,מזל תאומים ,ירושלים,ישראל,31.8375521,35.2331594
374,מח''ל ,ירושלים,ישראל,31.796279,35.230068
376,מחנה יהודה ,ירושלים,ישראל,31.7848864,35.2123891
378,מיכל ,ירושלים,ישראל,31.7977453,35.2213899
379,מלאכי ,ירושלים,ישראל,31.7907435,35.2171116
380,מלכי ישראל ,ירושלים,ישראל,31.7907931,35.2102031
381,מנדלי מוכר ספרים ,ירושלים,ישראל,31.7719599,35.2202238
382,מנדלי מוכר ספרים 4,ירושלים,ישראל,31.7724702,35.2204544
383,מנורה ,ירושלים,ישראל,31.7796569,35.2125443
384,מנחם ,ירושלים,ישראל,31.7883541,35.2134944
385,מנחת יצחק ,ירושלים,ישראל,31.795799,35.2092241
386,מסג'ד עומר ,ירושלים,ישראל,31.7778859,35.23000717
387,מעגלות הרב פרדס ,ירושלים,ישראל,31.8444513,35.2402846
388,מעגלות הרב פרדס ,ירושלים,ישראל,31.8444513,35.2402846
389,מעגלי הרי''ם לוין ,ירושלים,ישראל,31.8033993,35.2179047
390,מעגלי הרי''ם לוין ,ירושלים,ישראל,31.8033993,35.2179047
391,מעגלי הרי''ם לוין 4,ירושלים,ישראל,31.8033993,35.2179047
392,מעגלי יבנה ,ירושלים,ישראל,31.7570536,35.2111598
393,מעלה האכסניה ,ירושלים,ישראל,31.7644673,35.1611003
394,מעלה זאב ,ירושלים,ישראל,31.760023,35.2074692
396,מעלות עיר דוד ,ירושלים,ישראל,31.7729543,35.2347632
397,מקווה ישראל ,ירושלים,ישראל,31.797368,35.2236899
398,מקור חיים ,ירושלים,ישראל,31.7555555,35.2126203
399,מקור חיים 44,ירושלים,ישראל,31.7534227,35.2109391
400,מקסיקו ,ירושלים,ישראל,31.75847,35.1692248
403,מרדכי אלקחי 4,ירושלים,ישראל,31.747546,35.2318849
404,מרדכי עליאש ,ירושלים,ישראל,31.7822406,35.2156581
405,משגב לדך ,ירושלים,ישראל,31.7765267,35.2327787
406,משה אהרון טוב ,ירושלים,ישראל,31.7714644,35.1918543
407,משה סנה ,ירושלים,ישראל,31.8389637,35.231462
408,משה קול ,ירושלים,ישראל,31.7745922,35.1874705
409,משה קול 4,ירושלים,ישראל,31.7742224,35.187754
410,משה קליינמן ,ירושלים,ישראל,31.7632249,35.1749076
411,משה רחמילביץ' ,ירושלים,ישראל,31.8222438,35.2383933
412,משה רחמילביץ' 4,ירושלים,ישראל,31.8222656,35.2391286
413,משכן שילה 4,ירושלים,ישראל,31.7748268,35.1886179
414,משכנות ,ירושלים,ישראל,31.7827623,35.2147591
416,נהוראי ,ירושלים,ישראל,31.7536508,35.2078692
417,נוסייבה ,ירושלים,ישראל,31.8386964,35.22699624
418,נוסייבה 4,ירושלים,ישראל,31.8386964,35.22699624
420,נחל צין ,ירושלים,ישראל,31.8000478,35.2238469
421,נחמיה ,ירושלים,ישראל,31.7924861,35.2161248
422,ניקנור ,ירושלים,ישראל,31.7563073,35.1991966
423,ניקרגואה ,ירושלים,ישראל,31.757679,35.1622101
424,ניתאי הארבלי ,ירושלים,ישראל,31.7534129,35.2005276
425,נלסון גליק 4,ירושלים,ישראל,31.8129001,35.1947558
426,נפתלי ,ירושלים,ישראל,31.7587254,35.2172763
427,נתיב המזלות ,ירושלים,ישראל,31.8285989,35.2375608
428,נתיב המזלות 4,ירושלים,ישראל,31.8285989,35.2375608
432,סולם יעקב ,ירושלים,ישראל,31.8173067,35.2026588
433,סולם יעקב ,ירושלים,ישראל,31.8173067,35.2026588
434,סוקולוב ,ירושלים,ישראל,31.7716578,35.2190459
436,סמדר ,ירושלים,ישראל,31.7779171,35.1844316
437,סנט פרנציס ,ירושלים,ישראל,31.7788385,35.2280576
438,עובדיה 4,ירושלים,ישראל,31.7902672,35.215785
439,עולי הגרדום ,ירושלים,ישראל,31.7530852,35.2325695
440,עולי הגרדום 4,ירושלים,ישראל,31.7528724,35.2350054
441,עומר בן אל ח'טאב ,ירושלים,ישראל,31.7757441,35.2273927
443,עזרא ,ירושלים,ישראל,31.7898536,35.2207247
444,עזרת תורה ,ירושלים,ישראל,31.7946397,35.2120802
445,עזרת תורה ,ירושלים,ישראל,31.7946397,35.2120802
446,עין אל לוזה ,ירושלים,ישראל,31.762906,35.243114
447,עין גדי ,ירושלים,ישראל,31.7529801,35.2223591
450,עם ועולמו ,ירושלים,ישראל,31.7881194,35.1875866
451,עמוס ,ירושלים,ישראל,31.7909458,35.2162511
453,עמק רפאים ,ירושלים,ישראל,31.766943,35.2231189
456,עץ הדר ,ירושלים,ישראל,31.7957307,35.221593
457,עץ הדר ,ירושלים,ישראל,31.7957307,35.221593
458,עקבת א סראיה ,ירושלים,ישראל,31.7781981,35.2320433
459,עקבת א סראיה 4,ירושלים,ישראל,31.7781981,35.2320433
460,עתניאל ,ירושלים,ישראל,31.7628646,35.2223624
461,פ.צ. חיות ,ירושלים,ישראל,31.8430296,35.2408332
462,פארן ,ירושלים,ישראל,31.8011934,35.2271444
463,פארן ,ירושלים,ישראל,31.8011934,35.2271444
464,פיידי אל עלמי ,ירושלים,ישראל,31.8286927,35.229532
466,פלורנטין ,ירושלים,ישראל,31.7602833,35.1728634
467,פנורמה ,ירושלים,ישראל,31.7727793,35.221501
468,פנים מאירות ,ירושלים,ישראל,31.7969124,35.200347
469,פרי חדש ,ירושלים,ישראל,31.7871834,35.2167658
470,פרי חדש ,ירושלים,ישראל,31.7871834,35.2167658
471,פרימו לוי ,ירושלים,ישראל,31.7512135,35.2268403
472,פתח תקווה ,ירושלים,ישראל,31.793709,35.203449
473,צביה ויצחק ,ירושלים,ישראל,31.7320759,35.1872676
474,צביה ויצחק ,ירושלים,ישראל,31.7320759,35.1872676
475,צביה ויצחק 4,ירושלים,ישראל,31.7322262,35.1870943
476,צפניה ,ירושלים,ישראל,31.7902368,35.2191105
477,צפניה 4,ירושלים,ישראל,31.7903162,35.2187917
478,צרת 4,ירושלים,ישראל,31.752287,35.212587
479,קדימה ,ירושלים,ישראל,31.8131089,35.200297
480,קהילות יעקב ,ירושלים,ישראל,31.812803,35.218441
481,קוסטה ריקה ,ירושלים,ישראל,31.7539591,35.1729546
482,קורא הדורות ,ירושלים,ישראל,31.7488621,35.2222078
483,קורא הדורות ,ירושלים,ישראל,31.7488621,35.2222078
485,קנאי הגליל 4,ירושלים,ישראל,31.7558773,35.1999131
487,קרן היסוד ,ירושלים,ישראל,31.7749983,35.2178132
488,ראס אל עמוד ,ירושלים,ישראל,31.7701969,35.2439153
490,ראשית חכמה ,ירושלים,ישראל,31.787834,35.2167772
491,רבי בנימין ,ירושלים,ישראל,31.7817775,35.1941389
492,רבי מאיר ,ירושלים,ישראל,31.7597813,35.2108595
493,רבי סעדיה גאון 4,ירושלים,ישראל,31.7728335,35.2102096
494,רבי צדוק ,ירושלים,ישראל,31.7539164,35.1939041
495,רבן יוחנן בן זכאי ,ירושלים,ישראל,31.7590144,35.213517
496,רבעה אל עדוויה ,ירושלים,ישראל,31.780956,35.246269
497,רבקה ,ירושלים,ישראל,31.7541672,35.2196917
499,רחובות הבוכרים ,ירושלים,ישראל,31.790984,35.2207426
500,רחל אמנו 4,ירושלים,ישראל,31.7633595,35.2184946
501,ריש לקיש ,ירושלים,ישראל,31.7608799,35.2131382
502,רמת הגולן ,ירושלים,ישראל,31.8023162,35.2227547
503,רש''י 4,ירושלים,ישראל,31.7880312,35.2086028
504,רש''י 4,ירושלים,ישראל,31.7880312,35.2086028
505,רשב''ג ,ירושלים,ישראל,31.7552074,35.2086315
506,שאול אביגור ,ירושלים,ישראל,31.7243981,35.2212335
507,שאול המלך ,ירושלים,ישראל,31.7999081,35.2205738
508,שאר ישוב ,ירושלים,ישראל,31.8104947,35.1955908
509,שבטי ישראל ,ירושלים,ישראל,31.7840431,35.2247538
511,שבתאי הנגבי 44,ירושלים,ישראל,31.7385912,35.1953667
512,שג'רת אל דור ,ירושלים,ישראל,31.8261898,35.228492
515,שדרות בן מיימון ,ירושלים,ישראל,31.774668,35.217444
516,שדרות המאירי ,ירושלים,ישראל,31.7875339,35.1950541
517,שדרות המוזיאונים ,ירושלים,ישראל,31.779093,35.19921
518,שדרות הרצל 4,ירושלים,ישראל,31.773874,35.183138
519,שדרות לוי אשכול 4,ירושלים,ישראל,31.7404691,34.9970752
520,שדרות משה דיין ,ירושלים,ישראל,31.832649,35.234547
521,שדרות משה דיין ,ירושלים,ישראל,31.832649,35.234547
522,שדרות משה דיין ,ירושלים,ישראל,31.832649,35.234547
523,שדרות סיירת דוכיפת ,ירושלים,ישראל,31.828575,35.246635
525,שדרות צ'רצ'יל ,ירושלים,ישראל,31.797454,35.24009
526,שדרות ש''י עגנון 4,ירושלים,ישראל,31.7639065,35.2043103
528,שומרי אמונים ,ירושלים,ישראל,31.7869869,35.22524
529,שושנה פוליאקוב 4,ירושלים,ישראל,31.7855615,35.1953565
531,שלמה באום ,ירושלים,ישראל,31.7216281,35.2185501
532,שלמה בן יוסף ,ירושלים,ישראל,31.7455153,35.2369202
533,שלמה בן יוסף ,ירושלים,ישראל,31.7455153,35.2369202
534,שלמה דוגה ,ירושלים,ישראל,31.7290667,35.1975475
535,שלמה המלך ,ירושלים,ישראל,31.7776551,35.2227665
537,שלמה מוסיוף ,ירושלים,ישראל,31.791425,35.2210828
538,שמאי ,ירושלים,ישראל,31.7810738,35.2178333
539,שמגר ,ירושלים,ישראל,31.7928956,35.2085419
540,שמואל הנביא ,ירושלים,ישראל,31.7898989,35.225091
541,שמואל הנביא 4,ירושלים,ישראל,31.7920342,35.2237633
542,שמואל עדן ,ירושלים,ישראל,31.824996,35.2376768
543,שמחה הולצברג ,ירושלים,ישראל,31.8346379,35.2327692
544,שמיר ,ירושלים,ישראל,31.7363013,35.1944177
546,שמעון הצדיק ,ירושלים,ישראל,31.7934804,35.2265141
547,שמריהו לוין ,ירושלים,ישראל,31.7688529,35.1714259
548,שמריהו לוין 4,ירושלים,ישראל,31.7691884,35.1780792
549,שמשון פולנסקי ,ירושלים,ישראל,31.7925198,35.222458
550,שערי משה ,ירושלים,ישראל,31.7869583,35.2209258
551,שערי תורה ,ירושלים,ישראל,31.7648898,35.1831203
552,שפע חיים ,ירושלים,ישראל,31.7960582,35.212212
554,שרעבי 4,ירושלים,ישראל,31.7885137,35.2159339
555,ששת הימים ,ירושלים,ישראל,31.80097,35.2304811
556,תורה מציון ,ירושלים,ישראל,31.7910768,35.2078298
557,תיאודור לביא ,ירושלים,ישראל,31.8181559,35.19082
558,תכלת מרדכי ,ירושלים,ישראל,31.7942416,35.2081728
559,תל חי ,ירושלים,ישראל,31.7629241,35.2132587
560,תרצה ,ירושלים,ישראל,31.7778384,35.1855901
561,תרשיש ,ירושלים,ישראל,31.7317054,35.1830993
